date,channel,campaign_id,traffic_source,spend,impressions,clicks,attributed_orders,attributed_revenue
2025-10-02,TikTok Shop,PH-LIVE-2025-10-02,livestream,601.08,4218,1346,21,10928.65
2025-10-03,TikTok Shop,PH-LIVE-2025-10-03,livestream,597.66,3896,802,30,10866.63
2025-10-04,TikTok Shop,PH-LIVE-2025-10-04,livestream,203.72,8627,767,19,3704.0
2025-10-05,TikTok Shop,PH-LIVE-2025-10-05,livestream,750.56,8976,828,30,13646.61
2025-10-06,TikTok Shop,PH-LIVE-2025-10-06,livestream,500.82,4004,1141,23,9105.87
2025-10-07,TikTok Shop,PH-LIVE-2025-10-07,livestream,615.46,9124,726,30,11190.15
2025-10-08,TikTok Shop,PH-LIVE-2025-10-08,livestream,503.63,7709,452,26,9156.9
2025-10-09,TikTok Shop,PH-LIVE-2025-10-09,livestream,780.9,4144,1201,25,14198.19
2025-10-10,TikTok Shop,PH-LIVE-2025-10-10,livestream,1613.24,5544,936,67,29331.63
2025-10-11,TikTok Shop,PH-LIVE-2025-10-11,livestream,843.85,11594,1136,40,15342.78
2025-10-12,TikTok Shop,PH-LIVE-2025-10-12,livestream,725.72,4472,1122,24,13194.97
2025-10-13,TikTok Shop,PH-LIVE-2025-10-13,livestream,515.63,5246,1083,28,9375.16
2025-10-14,TikTok Shop,PH-LIVE-2025-10-14,livestream,766.96,9317,1094,32,13944.75
2025-10-15,TikTok Shop,PH-LIVE-2025-10-15,livestream,1087.32,5303,631,46,19769.54
2025-10-16,TikTok Shop,PH-LIVE-2025-10-16,livestream,1160.13,8869,995,46,21093.26
2025-10-17,TikTok Shop,PH-LIVE-2025-10-17,livestream,449.53,10177,413,21,8173.26
2025-10-18,TikTok Shop,PH-LIVE-2025-10-18,livestream,851.77,9572,460,36,15486.79
2025-10-19,TikTok Shop,PH-LIVE-2025-10-19,livestream,1167.35,8688,463,48,21224.49
2025-10-20,TikTok Shop,PH-LIVE-2025-10-20,livestream,683.46,6971,786,19,12426.5
2025-10-21,TikTok Shop,PH-LIVE-2025-10-21,livestream,905.26,4707,826,40,16459.24
2025-10-23,TikTok Shop,PH-LIVE-2025-10-23,livestream,382.55,2793,725,16,6955.46
2025-10-24,TikTok Shop,PH-LIVE-2025-10-24,livestream,463.76,3405,770,17,8432.05
2025-10-25,TikTok Shop,PH-LIVE-2025-10-25,livestream,433.96,3948,1007,15,7890.12
2025-10-26,TikTok Shop,PH-LIVE-2025-10-26,livestream,685.28,8403,1453,20,12459.61
2025-10-27,TikTok Shop,PH-LIVE-2025-10-27,livestream,953.86,4518,1059,16,17342.82
2025-10-28,TikTok Shop,PH-LIVE-2025-10-28,livestream,836.05,9620,1347,28,15201.0
2025-10-29,TikTok Shop,PH-LIVE-2025-10-29,livestream,931.91,3354,936,35,16943.73
2025-10-30,TikTok Shop,PH-LIVE-2025-10-30,livestream,829.84,15425,1120,30,15087.93
2025-10-31,TikTok Shop,PH-LIVE-2025-10-31,livestream,469.25,4909,1040,20,8531.85
2025-11-01,TikTok Shop,PH-LIVE-2025-11-01,livestream,912.02,6879,1459,28,16582.13
2025-11-02,TikTok Shop,PH-LIVE-2025-11-02,livestream,1098.37,25944,1800,36,19970.43
2025-11-03,TikTok Shop,PH-LIVE-2025-11-03,livestream,533.26,5183,1345,15,9695.61
2025-11-04,TikTok Shop,PH-LIVE-2025-11-04,livestream,1140.39,4850,1348,34,20734.45
2025-11-05,TikTok Shop,PH-LIVE-2025-11-05,livestream,638.58,12684,1067,26,11610.52
2025-11-06,TikTok Shop,PH-LIVE-2025-11-06,livestream,625.64,11235,1031,18,11375.25
2025-11-07,TikTok Shop,PH-LIVE-2025-11-07,livestream,979.67,10685,1256,27,17812.11
2025-11-08,TikTok Shop,PH-LIVE-2025-11-08,livestream,1106.87,4664,1088,33,20124.95
2025-11-09,TikTok Shop,PH-LIVE-2025-11-09,livestream,1373.31,6776,466,44,24969.28
2025-11-10,TikTok Shop,PH-LIVE-2025-11-10,livestream,6033.35,5457,1100,145,109697.21
2025-11-11,TikTok Shop,PH-LIVE-2025-11-11,livestream,14625.63,19691,3772,450,265920.51
2025-11-12,TikTok Shop,PH-LIVE-2025-11-12,livestream,2017.57,6207,1125,49,36683.14
2025-11-13,TikTok Shop,PH-LIVE-2025-11-13,livestream,875.74,8439,1097,37,15922.52
2025-11-14,TikTok Shop,PH-LIVE-2025-11-14,livestream,2805.21,9580,1405,95,51003.84
2025-11-15,TikTok Shop,PH-LIVE-2025-11-15,livestream,3786.2,10909,2206,100,68839.97
2025-11-16,TikTok Shop,PH-LIVE-2025-11-16,livestream,833.76,12632,883,35,15159.33
2025-11-17,TikTok Shop,PH-LIVE-2025-11-17,livestream,648.28,5411,1026,19,11786.96
2025-11-18,TikTok Shop,PH-LIVE-2025-11-18,livestream,1416.67,5421,1118,51,25757.68
2025-11-19,TikTok Shop,PH-LIVE-2025-11-19,livestream,267.3,4586,989,16,4860.0
2025-11-20,TikTok Shop,PH-LIVE-2025-11-20,livestream,380.17,6411,882,26,6912.19
2025-11-21,TikTok Shop,PH-LIVE-2025-11-21,livestream,472.38,4201,728,22,8588.73
2025-11-22,TikTok Shop,PH-LIVE-2025-11-22,livestream,1368.07,4414,1060,27,24874.0
2025-11-23,TikTok Shop,PH-LIVE-2025-11-23,livestream,810.75,6509,1185,25,14741.0
2025-11-24,TikTok Shop,PH-LIVE-2025-11-24,livestream,2080.45,11145,2173,62,37826.43
2025-11-25,TikTok Shop,PH-LIVE-2025-11-25,livestream,1178.38,14633,2622,45,21425.0
2025-11-26,TikTok Shop,PH-LIVE-2025-11-26,livestream,752.95,4726,1069,26,13690.0
2025-11-27,TikTok Shop,PH-LIVE-2025-11-27,livestream,449.5,5137,1142,22,8172.75
2025-11-28,TikTok Shop,PH-LIVE-2025-11-28,livestream,3918.87,9919,1915,78,71252.18
2025-11-29,TikTok Shop,PH-LIVE-2025-11-29,livestream,501.43,4290,754,21,9116.85
2025-11-30,TikTok Shop,PH-LIVE-2025-11-30,livestream,556.01,5228,791,24,10109.19
