month,channel,contribution_margin_rate,repeat_rate,payback_efficiency,inventory_health,loss_resilience,traffic_efficiency,realized_profit_index
2025-09,DTC,0.1826,0.2693,0.6830,0.6959,0.7787,0.6239,1007.80
2025-09,TikTok Shop,0.1591,0.1376,0.7443,0.6650,0.6621,0.7885,687.56
2025-09,Walmart,0.1815,0.1616,0.6518,0.6776,0.7336,0.5793,516.86
2025-10,Amazon,0.1731,0.1799,0.6430,0.7744,0.7287,0.6624,920.54
2025-10,B2B,0.2124,0.3035,0.8265,0.6826,0.8465,0.4564,1242.20
2025-10,DTC,0.1918,0.2784,0.6621,0.7287,0.7863,0.6420,1128.74
2025-10,TikTok Shop,0.1636,0.1267,0.7111,0.7052,0.6697,0.7963,757.59
2025-10,Walmart,0.1745,0.1606,0.6364,0.7111,0.6988,0.6153,560.12
2025-11,Amazon,0.1893,0.1873,0.6686,0.8029,0.7098,0.7089,1029.26
2025-11,B2B,0.2097,0.3179,0.8592,0.7388,0.8357,0.4030,1391.26
2025-11,DTC,0.1924,0.2616,0.6935,0.7303,0.7702,0.6084,1263.35
2025-11,TikTok Shop,0.1720,0.1444,0.7562,0.6732,0.6469,0.7549,824.60
2025-11,Walmart,0.1804,0.1600,0.6444,0.7378,0.7007,0.5519,607.92
2025-12,Amazon,0.1916,0.1836,0.6718,0.7986,0.7202,0.7130,1146.25
2025-12,B2B,0.2148,0.3256,0.8625,0.7064,0.8385,0.4366,1558.21
2025-12,DTC,0.1844,0.2784,0.6937,0.7643,0.7787,0.5957,1414.96
2025-12,TikTok Shop,0.1647,0.1499,0.7443,0.6699,0.6546,0.7302,908.22
2025-12,Walmart,0.1711,0.1793,0.6471,0.7459,0.7200,0.6033,660.85
