canonical_sku,brand,category_path,title,attribute_tokens,first_available_date
B00EP7OGI6,Fruit of the Loom Women's IA,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Lingerie, Sleep & Lounge"",""Lingerie"",""Panties"",""Hipsters""]",Fruit of the Loom Women's 5 Pack Microfiber Low Rise Hipster Panties,,"October 24, 2013"
B0BTH8F4CV,IDZO,"[""Patio, Lawn & Garden"",""Gardening & Lawn Care"",""Plant Support Structures"",""Trellises""]","Idzo 100% Metal Obelisk Trellis for Climbing Plants Outdoor 6ft - 72in, Heavy Duty Black Garden Trellis for Climbing Vine with Hammer Stone Coated, 1pc",steel,
B0816LQ1DL,GULEEK,"[""Cell Phones & Accessories"",""Accessories"",""Maintenance, Upkeep & Repairs"",""Replacement Parts"",""Screens""]","guleek for iPhone 6 Screen Replacement White Touch Display LCD Digitizer Assembly with Front Facing Camera,Proximity Sensor,Ear Speaker,Home Button Including Repair Tool and Screen Pretector",,"November 8, 2019"
B07X3SXVFG,Fihapyli,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Active"",""Active Shirts & Tees"",""T-Shirts""]",ICTIVE Long Sleeve Workout Shirts for Women Loose fit Workout Tops for Women Running Shirts Women with Thumb Hole,,"November 12, 2019"
B00NI4VHL6,CleanEspresso,"[""Kitchen & Dining"",""Small Appliance Parts & Accessories"",""Coffee & Espresso Machine Parts & Accessories"",""Coffee & Espresso Machine Cleaning Products""]",CleanEspresso 2 Gram Espresso Machine Cleaning Tablets Model BR-040 - For Breville Espresso Machines,led,"September 11, 2014"
B0009IY8U6,Minnetonka,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Boots"",""Ankle & Bootie""]",Minnetonka Women's Back-Zipper Bootie,leather,"‏  ‎ September 19, 2011"
B0CF1N2HKN,Generic,"[""Tools & Home Improvement"",""Hardware"",""Tarps & Tie-Downs"",""Bungee Cords""]","DJDAJIA 24"" x10Pack Bungee Cords with Hooks, 9mm Heavy Duty Bungee Cords,Multi-Purpose Elastic Bungee Straps for Luggage,Various Cargoes, Camping-Weatherproof & UV,Blue",,"August 8, 2023"
B087YHZPSZ,Pirelli,"[""Motorcycle & Powersports"",""Parts"",""Wheels & Tires"",""Tires & Accessories"",""Tires & Inner Tubes"",""Motorcycle & Scooter"",""Motorcycle"",""Street"",""Sport""]",Pirelli Night Dragon Cruiser Motorcycle Tires Set (100/90-19 M/CTL Front),,"February 9, 2012"
B01EBLY81U,Wrap-On,"[""Tools & Home Improvement"",""Plumbing"",""Pipes, Pipe Fittings & Accessories"",""Pipe Heat Cables""]",Roof and Gutter Deicing Cable - 80' Black Electric Heating Cord with 3 Prong Plug & 120 Volt Operation - 14081,,"April 16, 2016"
B07QNR7LTH,JETech,"[""Electronics"",""Computers & Accessories"",""Tablet Accessories"",""Bags, Cases & Sleeves"",""Cases""]","JETech Case for iPad Pro 10.5-Inch and iPad Air 3 (10.5-Inch 2019, 3rd Generation), Smart Cover Auto Wake/Sleep Cover (Space Gray)",,"August 3, 2020"
B00WMMMHNM,Seresto,"[""Pet Supplies"",""Dogs"",""Flea & Tick Control"",""Flea & Tick Collars""]",Seresto Large Dog Vet-Recommended Flea & Tick Treatment & Prevention Collar for Dogs Over 18 lbs. | 2-Pack,,"April 3, 2015"
B006BNBPYU,Safavieh,"[""Home & Kitchen"",""Home Décor Products"",""Rugs, Pads & Protectors"",""Area Rugs""]","SAFAVIEH Lyndhurst Collection Runner Rug - 2'3"" x 16', Red & Ivory, Traditional Oriental Design, Non-Shedding & Easy Care, Ideal for High Traffic Areas in Living Room, Bedroom (LNH553-4012)",,
B00I28F9UI,Swingline,"[""Office Products"",""Office & School Supplies"",""Staplers & Punches"",""Manual Staplers"",""Desktop Staplers""]","Swingline Stapler, 747 Classic Desktop Stapler, 20 Sheet Capacity, Metal, Steel Gray (74769)",steel,"November 5, 2013"
B00O3BLNGM,Scott,"[""Health & Household"",""Household Supplies"",""Tissues, Toilet Paper & Sprays"",""Toilet Paper""]","Scott® High-Capacity Jumbo Roll Toilet Paper (07805), 2-Ply, White, Non-perforated, (1,000'/Roll, 12 Rolls/Case, 12,000'/Case)",,"September 14, 2004"
B0BXTD29M5,Gugmoy,"[""Sports & Outdoors"",""Sports"",""Water Sports"",""Swimming"",""Training Equipment"",""Training Fins""]","Kids Swim Fins,Comfortable Silicone Flippers for Swimming and Diving,Size Suitable Beginners Kids Girls Boys Adults",,"March 10, 2023"
B0C28SPGJM,CIYAGPOOU,"[""Arts, Crafts & Sewing"",""Beading & Jewelry Making"",""Jewelry Findings"",""Jewelry Making Chains""]","CIYAGPOOU 3 Pcs Gold Necklace Extenders,925 Sterling Silver Necklace Extender for Women, 1"",2"",3"" Gold Durable Strong Extension for Chain Bracelet Anklet Choker Jewelry Making",,"April 12, 2023"
B07MQ3C8G3,Morigins,"[""Patio, Lawn & Garden"",""Outdoor Décor"",""Flags""]",Morigins Welcome Flower Truck House Flag Spring Old Truck Blue Daisy House Yard Flag 28 x 40 Inch,,
B0977KXGNH,Krylon,"[""Arts, Crafts & Sewing"",""Crafting"",""Craft Supplies"",""Adhesives"",""Adhesive Sheets & Sprays"",""Adhesive Sprays""]",Krylon K07020007 10.25-Ounce Easy Tack Repositionable Adhesive Spray,,"December 14, 2006"
B0BGX4L65B,HOMY CASA,"[""Home & Kitchen"",""Furniture"",""Dining Room Furniture"",""Chairs""]","HOMY CASA Dining Chairs Set of 4, Classical Mid-Century Style Kitchen Dining Chairs Black Gold Metal Legs Accent Chairs Comfortable Living Room Side Chairs for Kitchen Lounge Farmhouse, Rustic Brown",led,"September 30, 2022"
B0B3X64DV2,STAMIO,"[""Beauty"",""Skin Care"",""Face"",""Face Masks""]","STAMIO Orange Peel Powder 100 gm for Face Pack, Skin Care, Mask, DIY | Pure Citrus Aurantium | Natural Sun Dried Santra Chilka | Suitable For All Skin Types Men & Women | In Jar",,13 June 2022
B0C3GRM19Y,Kaxiida,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Lighting Accessories"",""Lighting Chains""]","Kaxiida Solar Color Changing Lights Outdoor, Waterproof IP68 Solar Lights Outdoor with 7 Lighting Modes, Multicolor RGB Outdoor Lights for Christmas Garden Yard Landscape Decorations",waterproof|led,"June 5, 2023"
B01D1S4KD0,Neoflam,"[""Home & Kitchen"",""Kitchen & Dining"",""Cookware"",""Pots & Pans"",""Saucepans""]","Neoflam 1qt Saucepan Butter Warmer Milk Boiling|Melting Pot, Ecolon Healthy Ceramic Nonstick Coating PFOA-free, 2 Pour Spouts, Dishwasher Safe, Ivory",,"March 16, 2016"
B09TCZ414H,MYPIN,"[""Pet Supplies"",""Cats"",""Cat Doors, Steps, Nets & Pens"",""Cat Doors""]","Reinforced Cat Screen Door, 32X82” Heavy Duty Pets Proof Screen Door with Bilateral Zipper, Prevent Dogs Cats Running Out from Home, Bedroom, Living Room, Kitchen Patio Door",steel,"February 25, 2022"
B07SS5Z6TN,IBENZER,"[""Electronics"",""Computers & Accessories"",""Laptop Accessories"",""Bags, Cases & Sleeves"",""Hard Shell Cases""]","IBENZER Compatible with New MacBook Air 13 inch Case 2022 2021 2020 M1 A2337 A2179 A1932, Plastic Hard Shell Case with Keyboard Cover for Mac Retina Display with Touch ID, Black, MMA-T13BK+1A",,"June 5, 2019"
B00PZ9QV0O,Georgia-Pacific,"[""Industrial & Scientific"",""Janitorial & Sanitation Supplies"",""Restroom Fixtures"",""Commercial Paper Hand Towel Dispensers""]","SofPull Large High-Capacity Centerpull Paper Towel Dispenser by GP PRO (Georgia-Pacific), Translucent Smoke, 58201, 1 Dispenser, 10.875” W x 10.375” D x 11.5” H",,"‏  ‎ April 18, 2006"
B008KJKA9O,SpaChoice,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleaning Tools & Chemicals"",""Chemicals & Water Testing Products"",""Pool Clarifiers & Enzymes""]","2-2440-02 Flocculant for Pool, 1-Quart, 2-Pack",,
B002NOYX1S,Fantasy,"[""CDs & Vinyl"",""Jazz"",""Cool Jazz""]",The Definitive Vince Guaraldi,,"September 3, 2009"
B081WRHSJM,FantasyDay,"[""Home & Kitchen"",""Kitchen & Dining"",""Bakeware"",""Pastry & Baking Molds"",""Brioche Pans""]","FantasyDay Non-stick Cream Horn Molds Stainless Steel, 4.92 inch Large Size Cannoli Tubes Kit Pack of 12 Baking Cones Pastry Roll Horn Croissant Mold - Christmas Anniversary Free Standing Cone Shape",led|steel,"November 23, 2019"
B009B9H8ME,Covercraft,"[""Automotive"",""Interior Accessories"",""Sun Protection"",""Sunshades"",""Windshield Sunshades""]","Covercraft UVS100 Custom Sunscreen | UV11244BL | Compatible with Select BMW 3 Series Models, Blue Metallic",,"September 15, 2012"
B079RJS67F,Skechers,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Oxfords""]",Skechers Men's Crossbar Oxford,led|leather,"September 21, 2015"
B0B2S8LQ8J,Ecko Unltd.,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Active"",""Active Pants"",""Sweatpants""]","Ecko Joggers for Men – Mens Sweatpants with Pockets, Mens Joggers Lounge Pants",,"May 31, 2022"
B015CAPNNQ,E-Z LOK,"[""Industrial & Scientific"",""Fasteners"",""Threaded Inserts"",""Helical Threaded Inserts""]","E-Z LOK 400-5 Threaded Inserts for Wood, Installation Kit, Brass, Includes 5/16-18 Knife Thread Inserts (5), Drill, Installation Tool",,"‏  ‎ September 14, 2015"
B00CRDV77S,Smead,"[""Office Products"",""Office & School Supplies"",""Filing Products"",""Folders"",""Hanging Folders & Interior Folders""]","Smead Colored Hanging File Folder with Tab, 1/5-Cut Adjustable Tab, Letter Size, Maroon, 25 per Box (64073)",led,"November 27, 2004"
B091Y7B6N2,Rotring,"[""Office Products"",""Office & School Supplies"",""Writing & Correction Supplies"",""Pens & Refills"",""Ballpoint Pens""]","Rotring 600 Ballpoint Pen, Medium Point, Blue Ink, Green Barrel, Refillable",,"November 6, 2020"
B0C67PSPXW,Skechers,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Athletic"",""Walking""]",Skechers Women's Performance Go Walk Arch Fit-Glee Sneaker,,"May 6, 2021"
B077J6HPCB,Bluemoon Homes,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Pillowcases""]","Bluemoon Homes Sheet Sets for King Size Bed Egyptian Cotton 800 Thread Count Cotton Sheets King Size Set Deep Pocket Upto 16'' - Extra Long-Staple Cotton King Sheets, Sateen Weave, Soft Sheets(Taupe)",led,"November 16, 2017"
B08P4MQJC7,Amazon Essentials,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Shorts""]","Amazon Essentials Women's 5"" Inseam Drawstring Linen Blend Short (Available in Plus Size)",,"July 15, 2021"
B0BN3WQB92,Bare peel,"[""Beauty"",""Skin Care"",""Face"",""Creams & Moisturisers"",""Serums""]","Bare Peel 15% Vitamin C Face Serum for Glowing Skin Contains Gotu Kola, Ferulic Acid and Aloe Vera for tightening the pores | SLS & Paraben Free | For All Skin Types (30ML)",,22 November 2022
B09QM2BMPG,Dunwell,"[""Office Products"",""Office & School Supplies"",""Binders & Binding Systems"",""Binder Accessories"",""Sheet Protectors, Card & Photo Sleeves""]","Dunwell Binder with Plastic Sleeves 12-Pocket (2 Pack, Black) - Presentation Book, 8.5 x 11 Portfolio Folder with Clear Sheet Protectors, Displays 24-Page Documents, Certificates, Important Papers",,"January 18, 2022"
B08KZLR9CZ,Pixelman,"[""Electronics"",""Car & Vehicle Electronics"",""Car Electronics"",""Car Safety & Security"",""Vehicle Backup Cameras""]","Universal Rear Camera Mounting Bracket,Dash Cam Mirror Cam Backup Camera Mount,Only Rearview Camera Holder,Back Up Camera Bracket,Reverse Camera Mount(4Pack)",,"October 10, 2020"
B084111VK1,BOSCH,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tools"",""Impact Wrenches""]",BOSCH GDS18V-221N 18V EC Brushless 1/2 In. Impact Wrench with Friction Ring and Thru-Hole (Bare Tool),compact,"March 12, 2020"
B00USP3Q4Y,Landau,"[""Clothing, Shoes & Jewelry"",""Men"",""Uniforms, Work & Safety"",""Clothing"",""Medical"",""Scrub Bottoms""]",Landau Scrub Zone Unisex Relaxed Fit 2-Pocket Drawstring Cargo Scrub Pants 85221,,"‏  ‎ January 17, 2020"
B01KBT2BPQ,ICONIX,"[""Toys & Games"",""Toy Figures & Playsets"",""Play Figure Vehicles"",""Buses""]",Tayo Gani Lani Rogi Cito - The Little Bus Tayo Special Wind-Up Set,,
B07KTWPYVW,adidas,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Athletic"",""Running"",""Track & Field & Cross Country""]",adidas Women's Sooraj Sneaker,,"August 22, 2018"
B09JC1XWXB,Blowfish Malibu,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Fashion Sneakers""]",Blowfish Malibu Women's Play Canvas Sneaker,,"April 10, 2017"
B07BF1WFCS,New Balance,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Fashion Sneakers""]",New Balance Men's All Coast 574 V1 Sneaker,,"July 5, 2018"
B01LWP349M,Host,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining"",""Glassware & Drinkware"",""Cocktail Drinkware"",""Margarita Glasses""]","HOST FREEZE Margarita Cocktail Glasses, Frozen Cup Plastic Margarita Glasses Drinking Set, Cinco de Mayo, Taco Party, Fiesta Party, Grey, Set of 2",led,"September 27, 2016"
B09Q4QN3SZ,adidas,"[""Clothing, Shoes & Jewelry"",""Girls"",""Shoes"",""Athletic"",""Running""]",adidas unisex-child Racer Tr21,led,"September 1, 2023"
B01N4J0LP8,Timberland PRO,"[""Clothing, Shoes & Jewelry"",""Men"",""Uniforms, Work & Safety"",""Shoes"",""Work & Utility"",""Industrial & Construction Boots""]",Timberland PRO Men's Powertrain Sport Alloy Toe Eh-Raptek Synthetic Industrial & Construction Shoe,,"November 16, 2016"
B0BKRTSK7P,ISHARINGTIME,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Ottomans""]","ISHARINGTIME Vanity Stool, Desk Stool with Cushion Seat, Piano Bench, Square 18” Vanity Chair, Makeup Vanity Stool Chair for Vanity, Living Room, Bedroom Capacity 300lb (Black) TYS002BK",,"November 10, 2022"
B08BJHMY33,HAVLULAND,"[""Home & Kitchen"",""Bath"",""Towels"",""Beach Towels""]","HAVLULAND |Pack of 2| Turkish Beach Towels Oversized 39x71, 100% Turkish Cotton Sand Free Quick Dry Absorbent Towel Travel Blanket for Adults Beach Gift Beach Essentials - Black",compact,"April 18, 2021"
B009S97AUW,Stens,"[""Patio, Lawn & Garden"",""Outdoor Power Tools"",""Replacement Parts & Accessories"",""Lawn Mower Parts & Accessories"",""Lawn Mower Replacement Parts"",""Belts""]",Stens 265-761 OEM Replacement Belt/Craftsman 47846,,"‏  ‎ October 17, 2012"
B0C27P6VC9,Ngbhtiob,"[""Electronics"",""Computers & Accessories"",""Laptop Accessories"",""Bags, Cases & Sleeves"",""Backpacks""]",Ngbhtiob Cute Backpack For Travel Laptop Daypack 3d Print Bag For Boys And Men,,
B0CMSQZGLC,Ohuhu,"[""Patio, Lawn & Garden"",""Gardening & Lawn Care"",""Gloves & Protective Gear"",""Workseats""]","Ohuhu Garden Kneeler and Seat: Upgraded Widened Gardening Stool with Detachable Soft Kneeling Pad, Foldable Garden Bench Heavy Duty with Large Tools Bag and Pouch, Gifts for Women Men Seniors Gardener",waterproof|steel,"November 7, 2023"
B08C2JSTMB,VEVOR,"[""Arts, Crafts & Sewing"",""Printmaking"",""Heat Press Machines & Accessories"",""Heat Press Machines""]",VEVOR Portable Heat Press 7x8 Inch Easy Press 800W Mini Heat Press Three Adjustable Modes Heat Press Machine for T Shirts Bags and Small HTV Vinyl Projects(Red),portable,"July 23, 2021"
B079DMVGM7,Mryok,"[""Clothing, Shoes & Jewelry"",""Men"",""Accessories"",""Sunglasses & Eyewear Accessories"",""Replacement Sunglass Lenses""]",Mryok Replacement Earsocks Nosepieces Kits for Oakley Flak 2.0 OO9295 / 2.0 XL OO9188 - Options,,"‏  ‎ January 28, 2018"
B07PFW15GC,Oakley Young Men's,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Shirts"",""Tank Tops""]",Oakley Men's Mark Ii Tank,,"August 4, 2018"
B08JHJZJ8V,Amazon Essentials,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Pants""]",Amazon Essentials Men's Belted Moisture Wicking Hiking Pant,,"June 16, 2021"
B091GSNZ8Z,TFROCO,"[""Sports & Outdoors"",""Exercise & Fitness"",""Accessories"",""Gloves""]","TFROCO Tactical Paintball Gloves, Touch Screen Finger Police Gloves for Men, Biking Motorbiking Hiking Airsoft Gloves for Women",led,"April 1, 2021"
B016MGVQ6C,Xerox,"[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printer Parts & Accessories"",""Printer Ink & Toner"",""Toner Cartridges""]",006R01220 Yellow 34000 Page Yield Toner Cartridge for DocuColor Printers 240 250 7655 7665,,"January 11, 2006"
B07DWWWN3Q,Ouray Sportswear,"[""Sports & Outdoors"",""Fan Shop"",""Clothing"",""Polo Shirts""]",Ouray Sportswear NCAA Baylor Bears Men's Men's Avenger Polo Short Sleeve,,"June 10, 2019"
B0824S6WK9,Phantoscope,"[""Home & Kitchen"",""Bedding"",""Decorative Pillows, Inserts & Covers"",""Throw Pillow Covers""]","Phantoscope Pack of 2 Faux Fur Solid Throw Decorative Pillow Cover Cushion Covers Luxury Soft Decorative Pillowcase Fuzzy Pillow Covers for Bed/Couch,Black 26 x 26 Inches",,
