platform,canonical_sku,review_id,review_date,rating,review_text
Amazon,B09S6R2M8V,B09S6R2M8V-R1,2024-07-09,4.5,Get these if you want a yummy snack when you're going on trips or just to have if you're in a rush. These are yummy! You can eat them straight out of the pack or spread them on whatever! This flavor is really delicious!
Amazon,B0BK8QY1JB,B0BK8QY1JB-R1,2023-09-10,4.1,"The Bluetooth headset that I tested is a good product overall, but I must say it is not the best for driving. When I used it inside an office, people told me that it sounded great and had no issues. I even tested it with background noise from a TV, and it successfully canceled out the noise. However, the real problem arose when I took it on the road with the window down. The headset completely lost signal or people would say it sounded like I was underwater.I believe it wouldn't be a great choice for truckers, as it may not provide the best performance in that environment. For normal use, particularly in an office setting, it should be just fine. The size of the headset is somewhat large, which I personally like. It also has the ability to expand to fit your head size. However, I did notice that even without expanding it, it fit well on my slightly larger head. People with smaller heads might have some difficulty fitting it comfortably.In conclusion, I recommend this Bluetooth headset for office use, but it may not be ideal for driving, especially with windows down. It offers good sound quality and effective noise cancellation, but the size and potential fit issues might be a concern for some individuals."
Amazon,B00LMTKUU8,B00LMTKUU8-R1,2024-01-15,4.6,Perfect for my needs
Amazon,B0CN8RQYDG,B0CN8RQYDG-R1,2024-07-09,4.7,I brought these plates they are so nice and good quality. I brought these plates for a gathering and they are reusable that's how good the plates are. They are durable. They are good size plates. It was worth it. I will definitely buy them again if needed for an event or gathering etc.
Amazon,B001D2X9WU,B001D2X9WU-R1,2023-09-11,4.4,Hardness and strange of the wrench
Amazon,B083S6S7VG,B083S6S7VG-R1,2023-09-11,4,The power of the Battery is Long Lasting
Amazon,B09YFS3TR9,B09YFS3TR9-R1,2023-09-11,4.1,Olfa blade with a holder.  A cheapass box cutter is a cheapass box cutter
Amazon,B001PT6X8S,B001PT6X8S-R1,2023-05-30,4.8,I use it with 2 other Daniel Smith to make a tiad that I use a lot of.
Amazon,B09M99SBQ3,B09M99SBQ3-R1,2023-08-03,4.5,"Only thing I can say negative wise was that I had thought it was a built in screen protector, but it is a stand alone screen protector that you have to apply yourself.  I bought this for my wife and that was one of the main reasons I had gotten this but it's alright.  She loves it anyway so job well done for me :-)"
Amazon,B07PX6QSH2,B07PX6QSH2-R1,2024-01-16,4.3,Did not realize it comes with an electric razor head and facial brush. The facial brush is very weak so if you have sensitive skin it would probably be great. I do not feel it goes fast or hard enough to exfoliate my skin.
Amazon,B0C1HSC43Y,B0C1HSC43Y-R1,2024-06-10,3.5,"These are a bit taller than the steps they are replacing, but still a good fit. And they are much sturdier than the old ones. Also, they dont require stones to hold them down and in place."
Amazon,B003HLZ3IS,B003HLZ3IS-R1,2022-09-19,4.3,"I'm a younger woman (well, 30ish) and I have always had low estrogen. My whole life, it's always been this way, due to a defect with my adrenals. It's a very rare condition, that I won't get into here. But I have to say, I've tried the lotions, cohosh, soy, and so on. Some of them helped with the various issues I have due to the low estrogen, but nothing really rocked my world. BUT! I'm loving this product so far, beyond anything I've ever tried. The only thing about it that could remotely be viewed as negative is that I feel much more sensitive emotionally. This past week, I have been crying almost every day. It's not in a bad way, though! I'm crying because puppies are cute, because someone was kind, because I love my boyfriend so much! I don't look at it as a drawback, I just look at it as making me feel more ""girly"". Like all but one of my little crying jags was happy tears. And after a week and a half, I'm probably up at least a half a cup size. I put on my sports bra today, which normally has a flat surface between my two breasts. This time, there was a noticeable dip between them, very pronounced and not subtle at all. I think that's pretty unusual, to fill out so quickly, but again, I'm a woman genetically and by birth and just have a slight dysfunction with the organ that makes hormones. So I'm not battling uphill against testosterone as some of the other users of this product may be, just filling a gap. (I'm not trying to be insensitive, I'm just trying to say this is a great supplement, but you probably shouldn't expect noticable boob growth unless you are in my exact situation. It will probably take most mtf trans more time to notice a difference, as other reviewers have noted.) Anyway, I've also noticed that pretty much all of my female body parts are getting a bit more sensitive, and my sex drive is up. That's all I can say without being lewd, but maybe you've seen the cartoon Archer? (Look it up, it's for adults, and it's a very funny spy parody.) There's a line from the show that's just, ""SPLOOSH"". It is said by the female characters on the show when they find someone attractive. If you're reading this review, you're probably an adult, and you can probably figure out what I'm getting at. Honestly, if it were up to me, I wouldn't be cute about it at all. I'm just making sure my review here is approved by Amazon. Meh.Long story short? I haven't had anything this good, aside from ACTUAL HRT. I wish I'd known about this years ago.PS- Oh! Wait! I did break out a little at first, but it passed. Got a few pimples in the first few days, but it was very mild, in all the little annoying places I got them when I went through puberty (with the assistance of pills), and then haven't had any new ones. YMMV.Great value for the productThis pill works. My husband did some research on ""resetting my hormones"" because im dependant on birth control so i can get a menstrual cycle. I was having too many symptoms of unbalanced hormones.. thinning hair, mood swings, tired all the time, not so pretty skin... ect. I always go for home remedies and this with another pill have worked for me! And YES YOUR BREAST WILL GROW. i was a true 36D and i would also fit into sister size 34DD now i have plenty of spillage and the 34DD aren't really an option.I have noticed this pill has curved my apetite and i have also gained on the scale like 2- 3pounds since ive been on it (about 5 weeks). No big deal though.Totally recommend if you're using it for hormonal issues or if you are looking for breast enhancements.I have taken NOW product Multi-gland caps for men for more than 5 years. They no longer manufacture it but have made a number of individual products (for liver or pancreas or kidney, etc.). I am almost done with my first bottle and things have been going well so far. I have a lot of problems with some products making me sick but so far the transition has been smooth and easy.I am a woman taking these for extremely low testosterone levels (level was basically zero). I feel much better since I started taking this along with Raw Female (for low estrogen) and chaste tree (for low progesterone). My muscles are growing larger and firmer, my sex drive has improved, skin tone is better along with my confidence and energy level.So far this has been a good product for me. I have paired it with esto8pn and it works well together. I haven't noticed any side effects while taking this and most products tend to have something that I react to. Overall good product and company.Pros: good sized product Easy to swallow Soft capsules No side effects noticed No strong tastes/after tasteCons: So far noneEn mi opinión solo 4 estrellas porque pensé que eran soft gels pero son cápsulas en lo personal me gustan las soft gels.I make my own cat food & need multi-gland for supplement. The capsules come apart easily & it dissolves well in liquid. As I don't have a lab to know if the info on the bottle is correct, this is all I can judge by. I would like to be able to get a bigger bottle, but this will do."
Amazon,B0040AHYGY,B0040AHYGY-R1,2023-10-04,4.4,"I like the fact that they have thick soles, I had to put some insoles in them for comfort, overall I am pleased with the Boots"
Amazon,B00O85SSK2,B00O85SSK2-R1,2022-09-18,4.7,"THANK YOUJust right and it knocks me out like a light- seriously I sleep like a baby. Great for neck and joint pain too.I buy Natures Answer Echinacea to use any time I feel a sore throat or sinus problem coming. I get no alcohol because it doesn’t have a bad taste. It’s anti inflammatory seems to help with allergies. I take it everywhere when I travel.It's important to keep your immune system good and healthy. This product does just that.Echinacea works for boosting the immune system. If you're reading this review, I suspect you agree. The question I have about taking echinacea is which formulation is a good one? It's hard to know what's actually IN some of these preparations, at what quality, and at what strength.The answer to this question is: This formulation is my favorite.. Nature's Answer alcohol free.I've been using this particular formulation for years. It tastes reasonably good (sort of like a strange tea), it's got no alcohol, and it contains no other herbs (I don't usually want echinacea combined with goldenseal, for example). I've found it to be extremely effective at fighting off oncoming illness.I used to be able to find this product locally, and when it wasn't available I bought other (equally and more expensive) echinacea formulations. I was not nearly as pleased. So, I'm buying this online now.No problems from this seller, either (fast shipping). Recommended for sure.We bought this for our rabbit, based on our vet’s recommendations. The product is great for supporting their immune systems, and they seem to like it well enough.use for general purposes. product came before stated time. expiration dates are excellent .product is just as statedon line. excellent packaging and deliveryI use this product to enhance my immunity especially in cold or allergy seasons. Help me a lot Very good."
Amazon,B0BBFYRJCD,B0BBFYRJCD-R1,2023-10-07,4.2,Got many lights for the price of one.  Good deal
Amazon,B0BTNL5FZK,B0BTNL5FZK-R1,2023-10-07,3.8,Would not work as advertised. Only color that would work was red and a very dim green.
Amazon,B076LRJ528,B076LRJ528-R1,2022-09-06,4.2,"I was worried about this one. I've been spurned before. Overall I'm pretty happy with it, though.I've been PC gaming since middle school, but I broke my right arm when I was in high school. I can use a mouse in my right hand fine for day to day stuff but between the scar tissue and slight nerve pinching that causes it to be uncomfortable, really uncomfortable for gaming. For whatever reason using a keyboard in my right is fine though (I guess because my hand rests on it differently).I've spent YEARS, actually over a decade, looking for an ideal gamepad. I ended up with a Logitech G13 at some point and have stuck with it but I don't like it for MMO's, basically not enough buttons combined with having to program different profiles for each game was rough. I picked up something really similar to this device a couple years ago but it was angled a bit differently and used Cherry MX Black switches and it actually physically hurt my arm after brief play sessions (20-30 minutes). Hence why I was worried about this.After pulling all the keycaps off and spinning them 90 degrees so I can use it vertically instead of horizontally and programming it... it's taking a bit of getting used to a slightly altered button layout but I'm getting there. It's not as comfortable as my Logitech G13 but I figured it wouldn't be, but it's WAY more comfortable than the similar product I tried a couple years ago.The software's easy enough to use, although I'd love a toggle to switch from horizontal to vertical (not necessary, just a nice option for those of us doing that), and once I got it setup I haven't had to run it again.I could see this being a great macro keyboard for work use, but for me it's a ""better than good enough but not perfect"" gaming pad. I'm still tempted to start researching custom building my own so it could be more ergonomic but for now this will work.Update (08/05/2018):Figured I'd do a ""I've had this almost a year now"" update. It's still a solid 4 stars. Still vaguely interested in custom building something more ergonomic but haven't felt the need to since I got used to this. Not perfectly comfortable for my needs but I'm used to it and it's working just fine. Now the biggest complaint I have is that the manufacturer still hasn't listed this on their actual website and from I can tell the only response to ""where can I download the programming software"" is ""the URL is on the manual."" Neither is a huge deal, but I tossed the manual a while back and I'm curious if the software's been updated at all and can't track down any website to download it.Update 10/18/2020:I bought another one. Old one's mostly fine, keycaps are dirty but I could clean them if i cared enough. I was able to put my old one back into ""programming mode"" to copy the keymapping to a file, then load that file onto the new one, and I didn't realize how nice that would be.They did change the model a bit. The shell feels cheaper, it's lighter, the USB cable ports don't come with covers, the gold/bronze colored screw caps on the top now are just formed bits of plastic in the shell... It's fine, but definitely doesn't feel or look as premium even though it costs the same. It did come with a pretty basic set of black and white key labels you can use and a keycap remover (which I don't think was included last time). These labels are just the main keys, no F1-F12 row or other such ""uncommon"" keys. A-Z, 1 to 0, and some punctuation keys. I don't think the cost of these add-ins outweighs the cost reduction of the cheaper materials/build quality. Again, it's fine, but for how much it costs I could get a similar quality 104+ full size keyboard. Granted, they probably have a special PCB, and a different kind of chipset so it's fully programmable, but those kinds of thing shouldn't fluctuate the cost so severely.Another change is that the older model is flat, no angle, but this model has a very slight angle to the body. If used as pictured it's like a normal keyboard slant, but used vertical by my right hand like I do it leans the right up into my hand... which is kind of fine? It's a weak enough angle that it's not super noticeable and it probably helps shorten the distance my pinkie finger is reaching, so I guess that's fine.Still a solid 4 stars from me, but the obvious cost reductions done without reducing the price are tempting me to drop the score. There's nothing else quite like it for my needs, at least not without spending WAY more, so I'm just happy someone's making stuff like this.I got this product to increase my workflow speed with Design programs such as Adobe Illustrator, Photoshop, InDesign, and After Effects.Before this product, I had already been used to all of my regular hotkeys & hand positions for the various programs, but I was worried that at some point I was going to obtain wrist issues with all the 'Alt', 'Ctrl', and 'Shift' key combinations on a daily basis- most especially now that I've began working from home.Once I got this product, I quickly realized just how much time I'll have to put into programming this to get back into my traditional workflow.After some time, I figured out my resting hand position, my most common keys, the best placement for the keys, and setup all of the hotkeys I use regularly.At the beginning, I felt like a newborn attempting to walk being 100% honest. I literally wanted to return the thing and go back to using my keyboard, but I was determined to use it because of the potential for it to be even better than a traditional keyboard.The most difficult part was remembering where all of the keys were, without having to shutdown the Keypad, re-open the editor in programming mode, and taking a screenshot of all the currently set keys.This keypad did however come with 2 color sets of Keycap stickers for a traditional QWERTY keyboard, black and white. As I started to place my stickers onto the keycaps however, I quickly realized that it'd literally be zero use if I'm going to have different key programmings for different Profile setups.To explain: If I place an A sticker on key 27, then in Profile 1 it's fine. But for Profiles 2-3, I'll either have to have key 27 be the same A key to not get mixed up with the stickers, or not use the sticker at all in the case that I prefer key 27 to instead be a combination of Ctrl+Shift+FSo I ended up taking off all the stickers I had put on, and the ones that were left on ended up coming off on their own within 2 weeks. Mostly due to the heat from my fingers resting on them, likely causing the sticky part of the sticker to melt and dry up when it's pops off.I ended up switching out most of the white keycaps to my resting hand area so that I could use Sharpie to write in letters, key combos, or symbols to dictate the tool it's for.Which was half a mistake, as the sharpie would rub off even after a day of drying.This issue is literally the only reason why I'm docking off a star from the overall rating, if there was a more convenient way to visualize the current key presets on screen per profile, then I think it would be an insane addition to this products functionality.This product has literally become like my big toe (For humans, if you lose your big toes, you'll have to relearn how to walk)I don't use any of my design programs without my hand on this keypad, and my workflow has increased insanely to the point where I can very quickly get carried away with myself and do MUCH MORE work than I'm supposed to. I highly suggest this to anyone who uses programs that regularly uses 2-3 Key combo hotkeys. It's been the most convenient purchase I've made for my business so far, and I've actually been extremely tempted to buy a second one just so that I could imitate an entire keyboard layout with 2 pads and be like a hackerman in a 2077 movie.Actually bought this a while back. Now that I retired I finally had a chance to use it.Downloaded the software, simple enough to set up. No issues getting it programmed.Has a good feel to it.Being a) left handed, and b) a bit older, I found this unit great for game playing.I play some of the older titles... Black Mesa/Half Life series, etc...This lets me have everything I need right at my (right) fingertips without having to do any reaching.I am pleased with the quality and sturdiness. Programming is easy and works well. My only wish is that it came with a set of lettering stencils to label the keycaps. I bought a black and a white fine point Sharpie to hand write text directly on the keycaps.The unit is well made but it has functional limitations. Number of macros is very limited and the unit cannot be programmed on the fly. You have to put it in special mode and disconnect and reconnect every time a change is required. My requirement during programming is that I can store commonly used variable and other text which will change frequently. I ended up returning this unit and used my existing Logitech programmable keyboard with AutoHotKey freeware.My experience mirrors that of other reviewers who have complained that key combos on this do not work reliably and you cannot program the keypad to send right-shift / alt / ctrl plus a keystroke.If you just want it to send function keys, or regular alpha characters it seems to work just fine.But shift + something simply does not work.I absolutely love this thing, it has mad emy workflow as a digital artist much more fluid and ergonomic! The mechanical keys are nice and clicky, and the smaller for factor allows me to use this alongside my tablet.My only complaints aren't very major: firstly, this uses an outdated mini usb cable, not even micro usb let alone usb C, which not optimal at all and makes replacement more difficult; secondly, the makers don't supply stickers for function keys like Enter, Alt, Ctrl, Backspace, etc. which are all used in various editing/creating software, so prepare to create your own labels. Thirdly, and this is my only MAJOR complaint: you can only program the keys on a WINDOWS machine. The keypad is usable on MacOS, but to program the keys to your liking, you better have a Windows machine somewhere, otherwise you are stuck.Love this keypad, perfect size and customizations for day trading. I use a lot of hotkeys in the platform I trade with and set it all up for use on this keypad. Keys are very accurate and responsive.Absolutely fantastic product. I have 2 of them right now and more on the way. I use 1 for gaming, I have it mapped to adapt to most common control schemes. I use another for content creation.My only gripe is the dated software used to program it. It works perfectly reliably though so no issues on my end."
Amazon,B0CBLGHG1F,B0CBLGHG1F-R1,2024-04-29,4.4,"This 45-pound dumbbell is a solid addition to any home gym. It's well-made and feels durable, ensuring it can withstand regular use. The grip is comfortable and provides a secure hold, even during intense workouts. The weight is perfect for a variety of exercises, adding the right amount of resistance to help you build strength. Plus, its compact size makes it easy to store. Overall, it's a great value for the price, offering quality construction and functionality for your workouts."
Amazon,B0BWN2DTJD,B0BWN2DTJD-R1,2024-06-24,4.5,"It was good too see the samples,I would chose a different color than I thought. Super good quality and attractive wood."
Amazon,B0CY242B8P,B0CY242B8P-R1,2024-06-24,4.2,"Cute sign, I will be using on a wreath soon."
Amazon,B084ZSPND4,B084ZSPND4-R1,2022-10-05,4.3,"I was going to return it but I really need it to keep my family safe so it’s stayingUpdate this stuff is awesome and works greatThis product smells good and is easy to use. I just fill empty spray bottles using the hose.This stuff is the best for cleaning Motel rooms, I dilute it will water 50/50 and it still is plenty strong to get rooms clean and smelling good. The price was pretty good, and the shipping was fast.Wow really great shine and clean!This is as described and shipped in a timely mannerA bit expensive, but when you realize it makes over 16 gallons of sanitizing cleaner it’s definitely worth it. The scent is really pleasant as well! Would really recommend this is you like sanitizing everything like I doUPDATE: I’ve only made 2 gallons of cleaning solution and it’s already half empty, nowhere near the advertised amount!!!!! Save yourself some money and buy a gallon of bleach instead!Also they hiked up the price quite a bit since I bought it which is horrible to do during a pandemic! Shame on you guysBest for office cleaning. Pleasant smell Dilute 1:4 ratio for daily cleaning.Love this product! The smell is amazing and it cleans very well."
Amazon,B089N74ZRN,B089N74ZRN-R1,2023-05-29,4.6,"I bought this for my truck as a spare flashlight whenever I need it. It’s super bright, has several different brightnesses so you can conserve battery power when needed. The only thing that wasn’t 5 stars for me was the Velcro, the mount has a Velcro backside so you can stick it to the cloth interior of a vehicle, but it falls from the ceiling when I hit a hard bump"
Amazon,B099H8N6MN,B099H8N6MN-R1,2024-04-30,4.3,"I purchased this bean bag chair for my great-granddaughter bedroom and she is thrilled with it. Chose this fabric for the look as I was ordering and it did not disappoint, it’s also a bit like sailcloth or canvas and looks like it will be very durable for years to come. It had no smell when unpacking, is removable for laundering and the child says that it is very comfortable. It keeps its form well and she wont be sinking to the floor when sitting any time in the near future, so I will recommend this chair to anyone wanting a bean bag that is well worth the price paid."
Amazon,B002WKK86M,B002WKK86M-R1,2024-07-08,4.5,Worked great be careful on how much you use it does great to reduce chlorine
Amazon,B00EP7OGI6,B00EP7OGI6-R1,2023-10-22,4.4,They fit ok but they do not have a plush waistband as the listing states. So you have elastic at the waist and leg opening. I was hoping the elastic would be covered which would be more comfortable. I’m only giving 4 stars b/c they incorrectly called the waistband plush when it is not.
Amazon,B0BTH8F4CV,B0BTH8F4CV-R1,2024-03-03,4.4,My husband put it together no problems. Looks great with the planter I bought. Now just waiting for my climbing rose tree to arrive.
Amazon,B0816LQ1DL,B0816LQ1DL-R1,2023-08-03,4.1,"Ya cambié la pantalla de un iPhone Xs usando este kit y me parece que es muy bueno y completo.Lo bueno:Empaque: 100% seguro,  cartón fuerte por afuera y espuma antígolpes por dentro. La pantalla de gran calidad. Ajuste perfecto al marco y con los tornillos. Buen contraste, brillo y sensibilidad.Traen una  plantilla para colocar los tornillos. Muy útil, evita equivocarte en su posición. Te recomiendo que la uses sí o sí. Evitará que metas la pata.Incluye un juego completo de herramientas para hacer el trabajo. Los destornilladores pueden ser mejores, pues la punta no es lo suficientemente  fina para los tornillos tan pequeños. Pero las herramientas en general cumplen su función.Debes tener buena vista e iluminación para hacer este trabajo, si pasas de los 40 años como yo, consigue unos buenos lentes, pues los tornillos son muy pequeños. Mira la foto de un tornillos sobre mi uña para que compares el tamaño de los tornillos. Primero debes quitar los 2 tornillos que sujetan la pantalla, cerca del puerto de carga, luego otros 4 toenillod en el chasis, que protejen los conectores de los flex y 3 en la parte posterior de la pantalla, para poder liberar la cámara y face id.Necesitan un secadora de pelo que tire aire caliente para ensuavisar la goma que sujeta la pantalla y jalando con la ventosa de succión suministrada se forma un pequeño espacio por donde metes la uña o púa plástica para con paciencia ir despegando la pantalla. Ten cuidado de no cortarte si la pantalla está quebrada. El proceso es fácil y se te van 30 minutos. No corras, para que no dañes nada por dentro.Incluye la goma o sello contra agua. Viene en un plástico que sirve de guía. Muy fácil de poner. Sólo hazlo antes de colocar los flex, para más fácil. Asegúrate de limpiar bien el marco del chasis antes de colocar el sello. Yo lo hice utilizando el destornillador plano incluido.Wow. Incluye el vidrio temperado, que  completa el kit de excelente forma.Por mejorar:Las instrucciones están bien, pero las fotografías para alguien sin experiencia son pequeñas y carecen de detalles. Recomiendo complementar mirando un par de videos.Tiempo de la reparación:Duré como 1 hora haciendo el trabajo. Supongo que haciendo esto unas 10 veces, podría durar 20 minutos. Si no tienes experiencia, saca un rato tranquilo para hacer el trabajo. Sin niños que te pierdan los tornillos y acompañado de un buen café.Recomendación:Sumo cuidado con los flex, al retirar la pantalla mala, son delicados y si dañas algo,  luego el celular no funcionará bien. Hay posibilidad de dañar el face id. Así que con cuidado y amor todo saldrá bien. Si quiebras la pantalla mala al sacarla, no importa, deporsí ya está mala. Pero NO dañes los flex. Por cierto, también debes aplicar algo de calor para quitar con más facilidad parte del flex del face id y una pieza plástica que separa los sensores. Hazlo con calma. Mejor durar 10 minutos más que ir a dañar la pieza.Para terminar me encontré una sorpresa dentro del kit. Venía incluida una promoción llamada ""scratch to win"" consiste en una tarjeta que la raspas y puedes ganarte un premio. Yo me gané uno, genial. Solo le escribes al vendedor y listo.Los felicito por el producto.Ah y mi celular estrenando pantalla quedó muy bien"
Amazon,B07X3SXVFG,B07X3SXVFG-R1,2023-08-08,4.4,"Great shade of green! Fresh looking, breathable fabric, warmer than expected. First time with thumb holes- I love them! The mesh cutout on sleeve adds just enough detail to make it interesting. Fabric very soft and comfortable!  Not sure if it will be great for working out because I get very hot, but it is perfect for casual wear and the length is great for pairing with leggings. More ""athlesieure"" on me than ""workout"" gear. Glad I sized up because it runs slim; glad I got it in black as well. A no- brainer, and I am picky about synthetic fabrics so I rarely buy clothing without being able to touch it first. Modal turns out to be much more comfortable than even the smallest blend of polyester, which always makes me sweat and seems to be in almost everything I find online these days. I cannot tolerate polyester or acrylic, and struggle hard to find tops free of both, so this was a great find for me!"
Amazon,B00NI4VHL6,B00NI4VHL6-R1,2023-08-16,4.7,Still need to use vinegar to de-scale
Amazon,B0009IY8U6,B0009IY8U6-R1,2023-05-27,4.2,"I'm actually so happy with these little elf booties. I personally think they run big. While in theory I'm a true 7 (like 20 yrs ago), in actuality I can't remember the last time I was able to squeeze my feet comfortably in anything but an 8 (except for Birkenstocks) after two babies back to back followed by a year of high dose steroids. I ordered these in a 7 1/2 because I sized down a whole size to my ""true size"" before in Uggs at review suggestion and they never really stretched out enough for true comfort. This was likely a mistake. They fit in the width though by no means tightly but are a bit long and after three hours of wear had considerably loosened all over. I really should of purchased a 7 at least so they would be fitted like a sock as they are meant to because I'm sure these are going to be way too big way too quickly but when they are I'll use them for around the house and get a new pair for outdoors.That being said, I'm not sending them back because I don't want to spend another day of my life without these shoes. I purchased the black and its a true, deep matte black and the fringe is neutral and lays perfectly flat. I also got them in the suede sole and I'm glad I did, I used to have a pair of suede sole mocs when I lived in Seattle and even walking at least ten miles a day mostly on concrete in that weather which isn't optimal conditions for these types of shoes (I didn't drive during those years) the mocs lasted three years before finally developing a hole. In more normal climates and usage these could easily last ten yrs (live in Texas and drive now lol). Don't believe people who say these can't be worn out of doors, they simply have to be seasoned properly by getting them wet and wearing on dirt and grass till the get slick and hard.The seude on these is perfect. No its not the nearly nubuck softness of some higher end seude shoes I have but its not the rough cheapie suede either and in reality you wouldn't want a shoe like this to be any softer. Don't get me wrong, they ARE soft but they are thicker and sturdier than some suede which is just right. One thing I didn't realize is that these booties have like some kind of memory foam insert which my old mocs didn't and this makes them even more comfy. Like wearing suede socks with some cushioning, I think if I added a little arch support stick on insert it would be like going bare foot with arch support and foot protection. The zipper seems to work well but I could see where it could slide down. I would say these may work better on people with a more delicate foot and smaller ankle because I have bird bones and it looks like if I had a normal sized to large sized ankle then they might be fitted and look odd. They have enough room around my ankle and fit around my foot so well that they look ultra flattering. Also thanks to the simplicity and matte black of the shoes they also look more hip and less boho. So far I've only worn these with a pair of slim fit, vintage boyfriend ankle jeans and they work perfectly. Adorable perfection. I almost exclusively wear ankle length jeans due to my proportions and that's actually what I wanted a flat ankle boot for and these look super cool. However I think these will also look really good with summer dresses and even leggings and tunics this winter.I honestly didn't think I would like this, both fit and style but haven't been able to find an ankle boot that worked for me so I decided to give these a quick try. I'm so in love. They're surprisingly comfy tho I will add an insert. I do have pretty nasty arthritis in my feet so I'm a bit particular about my shoes but these make me feel like I can leap about like an elf. And my feet kinda look Elvin too. I can't think of enough good things to say about these booties. No, they may not be for everyone especially if you have a wider foot or ankle and if you prefer true orthotics but otherwise these are amazing. I've owned hundreds of shoes, many costing hundreds of dollars and these are surprisingly enough the absolute favorite shoes ever. They have everything I could ever want in a shoe. Even my mom, who rolled her eyes when I said I ordered this, flipped out when I put them on and even more when she tried them on. She hates completely flat shoes and has truly disformed arthritic feet and she ordered a pair an hr after I received mine. Plus she hates these kind of styles but thought these looked surprisingly hip and sophisticated for a moc bootie.So...another convert. If you think these may work for you please give these a try but read up on seasoning the sole and they'll last a good while depending on your usage and weather conditions. Now I'm ordering some in other colors and I really, really wish minnetonka would bring these back in pebble leather and not just as the occasional overpriced promo product because seriously, how much more versatile!!!Edit: while these are still my favorite shoes ever the tab on the back crumbled the second time I wore them making it difficult for my arthritic fingers to close the back. I am going to contact the sender and hope they are able to send me a replacement tab but its disappointing quality for that to happen the second time I out them on and makes me sure the other side will do the same. I will still purchase more because I love the style and comfort but they need to put better quality pulls on the back."
