month,category,top_sku_share,sweet_spot_share,whitespace_score,negative_review_rate,median_lifetime_days,exit_risk,discount_depth,gmv_index
2024-09,cigar_accessories,0.5876,0.2625,0.0728,0.2132,88.34,0.2239,0.1283,92.55
2024-09,edc,0.4792,0.3579,0.1221,0.1499,97.88,0.1979,0.0846,144.96
2024-09,portable_generators,0.5628,0.4363,0.1386,0.1819,100.92,0.1704,0.0862,174.37
2024-10,camping_gear,0.4263,0.3177,0.1115,0.1641,93.83,0.2163,0.1131,156.34
2024-10,car_parts,0.5183,0.3256,0.0852,0.1691,101.49,0.1682,0.1041,129.96
2024-10,cigar_accessories,0.6212,0.2797,0.0824,0.2226,84.44,0.2267,0.1197,90.53
2024-10,edc,0.4608,0.3409,0.1268,0.1475,98.86,0.1909,0.0755,148.19
2024-10,portable_generators,0.5749,0.4115,0.1291,0.1965,105.63,0.1779,0.0917,183.59
2024-11,camping_gear,0.4479,0.3228,0.1089,0.1741,90.06,0.2052,0.1021,159.04
2024-11,car_parts,0.5396,0.3227,0.1036,0.1657,96.17,0.1822,0.1067,133.83
2024-11,cigar_accessories,0.6241,0.3002,0.0827,0.2187,81.74,0.2333,0.1165,90.78
2024-11,edc,0.4613,0.3578,0.1207,0.1412,96.36,0.1848,0.0836,156.19
2024-11,portable_generators,0.5393,0.3822,0.1293,0.1925,111.93,0.1593,0.0863,193.70
2024-12,camping_gear,0.4198,0.3338,0.1117,0.1508,96.54,0.1978,0.1096,164.61
2024-12,car_parts,0.4980,0.2945,0.0996,0.1826,103.92,0.1757,0.0987,135.03
2024-12,cigar_accessories,0.6043,0.2989,0.0884,0.2080,89.84,0.2231,0.1303,92.45
2024-12,edc,0.4494,0.3647,0.1275,0.1368,98.27,0.1861,0.0875,165.13
2024-12,portable_generators,0.5517,0.3653,0.1256,0.1783,110.47,0.1685,0.0910,199.40
2025-01,camping_gear,0.4477,0.3153,0.1062,0.1542,91.44,0.2141,0.1127,166.42
2025-01,car_parts,0.5271,0.3234,0.0966,0.1758,104.32,0.1600,0.1067,137.63
2025-01,cigar_accessories,0.6015,0.2782,0.0766,0.2308,93.08,0.2152,0.1275,92.04
2025-01,edc,0.4802,0.3628,0.1344,0.1357,97.46,0.1857,0.0846,172.89
2025-01,portable_generators,0.5445,0.3979,0.1387,0.2028,113.75,0.1512,0.0959,209.88
2025-02,camping_gear,0.4417,0.3319,0.1078,0.1453,93.35,0.2140,0.1180,170.19
2025-02,car_parts,0.5133,0.2972,0.1002,0.1716,104.49,0.1615,0.0922,141.87
2025-02,cigar_accessories,0.6116,0.2961,0.0725,0.2115,91.20,0.2125,0.1184,90.67
2025-02,edc,0.4923,0.3471,0.1354,0.1427,104.58,0.1750,0.0744,179.63
2025-02,portable_generators,0.5514,0.3716,0.1429,0.1779,110.95,0.1611,0.1016,221.47
2025-03,camping_gear,0.4455,0.3330,0.1026,0.1495,96.88,0.2101,0.1158,175.42
2025-03,car_parts,0.5248,0.3167,0.1109,0.1582,102.41,0.1654,0.0961,146.39
2025-03,cigar_accessories,0.5739,0.2782,0.0833,0.2127,88.11,0.2272,0.1278,90.07
2025-03,edc,0.4453,0.3441,0.1353,0.1371,101.45,0.1832,0.0726,187.04
2025-03,portable_generators,0.5370,0.3800,0.1333,0.2024,116.26,0.1539,0.0946,232.12
2025-04,camping_gear,0.4479,0.3376,0.1065,0.1486,102.80,0.2027,0.1078,183.95
2025-04,car_parts,0.5332,0.3384,0.1068,0.1601,103.42,0.1660,0.1023,153.29
2025-04,cigar_accessories,0.6074,0.2953,0.0894,0.2231,93.55,0.2258,0.1233,90.04
2025-04,edc,0.4443,0.3462,0.1340,0.1258,107.43,0.1694,0.0792,193.26
2025-04,portable_generators,0.5306,0.3895,0.1434,0.1973,114.16,0.1495,0.0876,240.88
2025-05,camping_gear,0.4099,0.3795,0.1228,0.1727,104.05,0.2034,0.0985,197.80
2025-05,car_parts,0.5134,0.3010,0.1123,0.1604,104.05,0.1680,0.0954,157.57
2025-05,cigar_accessories,0.6046,0.2947,0.0918,0.2069,89.86,0.2171,0.1296,90.18
2025-05,edc,0.4612,0.3396,0.1298,0.1478,105.83,0.1850,0.0866,199.31
2025-05,portable_generators,0.5687,0.3936,0.1520,0.1844,110.78,0.1698,0.1018,250.34
2025-06,camping_gear,0.4180,0.3865,0.1228,0.1709,105.29,0.1894,0.1135,211.68
2025-06,car_parts,0.5201,0.3277,0.1006,0.1843,107.70,0.1620,0.1016,162.44
2025-06,cigar_accessories,0.5858,0.2665,0.0900,0.2260,98.71,0.2114,0.1242,89.23
2025-06,edc,0.4455,0.3327,0.1364,0.1543,106.61,0.1832,0.0856,207.58
2025-06,portable_generators,0.5457,0.3645,0.1518,0.1980,112.52,0.1611,0.0933,260.45
2025-07,camping_gear,0.4442,0.3889,0.1103,0.1700,103.00,0.1927,0.1136,227.28
2025-07,car_parts,0.5278,0.2938,0.1096,0.1690,111.64,0.1550,0.1074,167.51
2025-07,cigar_accessories,0.5726,0.2776,0.0827,0.2125,91.51,0.2282,0.1303,89.04
2025-07,edc,0.4783,0.3662,0.1298,0.1256,106.12,0.1708,0.0827,217.22
2025-07,portable_generators,0.5642,0.3772,0.1401,0.1917,119.87,0.1457,0.0894,276.59
2025-08,camping_gear,0.4010,0.3470,0.1144,0.1705,109.26,0.1848,0.1122,240.71
2025-08,car_parts,0.5074,0.3149,0.1114,0.1751,110.91,0.1642,0.1069,173.08
2025-08,cigar_accessories,0.6173,0.2980,0.0926,0.2130,92.20,0.2233,0.1246,89.37
2025-08,edc,0.4507,0.3572,0.1449,0.1285,111.87,0.1763,0.0720,229.75
2025-08,portable_generators,0.5523,0.4098,0.1489,0.1777,116.05,0.1527,0.0932,299.29
2025-09,camping_gear,0.4481,0.3313,0.1305,0.1478,110.70,0.1791,0.1192,248.85
2025-09,car_parts,0.5342,0.3153,0.1054,0.1687,110.80,0.1649,0.0933,177.31
2025-09,cigar_accessories,0.6148,0.2685,0.0920,0.2246,97.82,0.2041,0.1227,88.93
2025-09,edc,0.4872,0.3359,0.1286,0.1352,113.77,0.1782,0.0779,240.78
2025-09,portable_generators,0.5300,0.4086,0.1531,0.1814,124.05,0.1535,0.0818,328.98
2025-10,camping_gear,0.4036,0.3276,0.1270,0.1544,108.26,0.1887,0.1077,258.04
2025-10,car_parts,0.5256,0.3083,0.1027,0.1712,115.89,0.1550,0.1095,185.98
2025-10,cigar_accessories,0.6017,0.2929,0.0874,0.2258,96.97,0.2224,0.1308,89.03
2025-10,edc,0.4420,0.3569,0.1446,0.1265,115.92,0.1735,0.0817,251.24
2025-10,portable_generators,0.5516,0.3877,0.1427,0.2031,121.65,0.1510,0.0980,354.45
2025-11,camping_gear,0.4101,0.3375,0.1110,0.1728,108.53,0.1949,0.1145,266.78
2025-11,car_parts,0.5002,0.3217,0.1126,0.1782,114.70,0.1538,0.0918,194.37
2025-11,cigar_accessories,0.5901,0.2943,0.0888,0.2340,99.16,0.2126,0.1337,91.41
2025-11,edc,0.4866,0.3762,0.1393,0.1386,113.11,0.1700,0.0758,270.22
2025-11,portable_generators,0.5269,0.3655,0.1513,0.1868,122.07,0.1533,0.0948,377.45
2025-12,camping_gear,0.4148,0.3145,0.1284,0.1532,107.74,0.1961,0.1144,274.29
2025-12,car_parts,0.4936,0.3268,0.1231,0.1757,118.29,0.1616,0.1054,201.35
2025-12,cigar_accessories,0.5937,0.3029,0.0870,0.2159,104.16,0.2063,0.1290,93.87
2025-12,edc,0.4777,0.3538,0.1556,0.1424,118.84,0.1676,0.0786,291.50
2025-12,portable_generators,0.5215,0.3765,0.1506,0.2009,120.87,0.1459,0.0900,396.70
