month,category,demand_index,active_listings,price_realization_rate,channel_roas,hhi,revenue_index
2024-07,cigar_accessories,55.36,372,0.8523,4.0833,1978.05,106.33
2024-07,edc,70.10,480,0.9203,5.1327,1559.68,145.02
2024-07,portable_generators,78.21,599,0.8984,5.6833,2860.67,96.50
2024-08,camping_gear,85.51,721,0.8580,5.4640,1655.75,142.13
2024-08,car_parts,67.39,646,0.8986,4.5302,2388.11,107.51
2024-08,cigar_accessories,55.03,363,0.8598,4.1454,1939.17,108.60
2024-08,edc,71.12,510,0.9187,5.0965,1528.52,152.73
2024-08,portable_generators,91.18,589,0.9144,6.5164,2803.04,100.44
2024-09,camping_gear,79.29,744,0.8525,4.9252,1689.36,142.14
2024-09,car_parts,67.08,635,0.8942,4.4322,2363.25,106.92
2024-09,cigar_accessories,55.94,386,0.8669,4.4003,1948.66,108.10
2024-09,edc,69.03,497,0.9122,4.9405,1567.43,156.93
2024-09,portable_generators,95.11,606,0.9005,6.1767,2823.88,99.58
2024-10,camping_gear,74.50,745,0.8501,5.0884,1729.70,143.52
2024-10,car_parts,73.55,653,0.9111,4.9439,2413.75,112.44
2024-10,cigar_accessories,55.21,397,0.8627,4.2957,1949.41,109.40
2024-10,edc,71.02,498,0.9211,4.8919,1509.29,163.84
2024-10,portable_generators,82.75,599,0.8696,5.1886,2884.14,90.09
2024-11,camping_gear,76.39,733,0.8679,5.1832,1665.14,146.04
2024-11,car_parts,69.10,648,0.8848,4.2284,2381.36,107.41
2024-11,cigar_accessories,62.18,385,0.8848,4.7106,1923.62,115.06
2024-11,edc,79.46,527,0.9407,5.3774,1527.20,181.18
2024-11,portable_generators,81.52,616,0.8971,5.6040,2873.51,88.21
2024-12,camping_gear,75.22,755,0.8769,4.9521,1683.20,147.51
2024-12,car_parts,67.56,677,0.8967,4.4316,2415.54,106.07
2024-12,cigar_accessories,63.54,390,0.8675,4.4783,1946.78,115.89
2024-12,edc,81.34,544,0.9231,5.0393,1514.03,193.07
2024-12,portable_generators,91.10,620,0.9057,6.0344,2816.15,89.57
2025-01,camping_gear,78.23,761,0.8871,5.2625,1645.55,152.78
2025-01,car_parts,68.51,680,0.9099,4.6455,2405.78,106.29
2025-01,cigar_accessories,56.89,405,0.8317,3.7910,1926.93,111.41
2025-01,edc,74.46,539,0.8869,4.5777,1531.73,193.49
2025-01,portable_generators,95.77,639,0.9067,6.0052,2839.97,90.90
2025-02,camping_gear,78.97,768,0.8733,5.1502,1640.66,157.48
2025-02,car_parts,70.26,689,0.8983,4.5103,2397.30,107.71
2025-02,cigar_accessories,55.14,404,0.8537,3.9127,1927.29,109.79
2025-02,edc,76.65,532,0.9130,5.0333,1552.93,199.77
2025-02,portable_generators,92.84,640,0.8798,5.6313,2832.61,87.73
2025-03,camping_gear,77.81,780,0.8744,4.9114,1646.79,158.00
2025-03,car_parts,73.60,671,0.9000,4.9082,2358.02,110.29
2025-03,cigar_accessories,57.84,425,0.8664,4.4723,1931.18,111.11
2025-03,edc,79.50,554,0.9175,5.1182,1558.33,208.98
2025-03,portable_generators,87.59,657,0.8778,5.2900,2862.42,81.47
2025-04,camping_gear,85.88,765,0.8922,5.5670,1699.22,167.77
2025-04,car_parts,75.72,699,0.9150,4.6978,2413.64,112.20
2025-04,cigar_accessories,55.08,415,0.8522,4.2325,1965.02,111.27
2025-04,edc,77.28,546,0.9083,4.7342,1572.08,215.60
2025-04,portable_generators,85.19,655,0.8773,5.5550,2845.74,77.02
2025-05,camping_gear,91.58,788,0.8843,5.6599,1679.50,179.66
2025-05,car_parts,70.90,693,0.8890,4.3577,2438.50,110.43
2025-05,cigar_accessories,57.81,418,0.8740,4.5533,1902.19,113.80
2025-05,edc,79.40,556,0.9111,4.9594,1521.61,222.82
2025-05,portable_generators,87.53,668,0.9049,5.7077,2882.75,74.51
2025-06,camping_gear,94.72,790,0.8805,5.5954,1691.80,186.26
2025-06,car_parts,71.72,708,0.9045,4.6843,2442.79,109.14
2025-06,cigar_accessories,55.90,424,0.8575,4.1104,1974.48,113.97
2025-06,edc,81.08,578,0.9226,5.0450,1554.98,231.39
2025-06,portable_generators,89.88,654,0.8985,5.7090,2855.68,72.57
2025-07,camping_gear,97.86,800,0.8810,5.5853,1723.15,197.28
2025-07,car_parts,71.84,697,0.9035,4.4688,2358.75,106.97
2025-07,cigar_accessories,56.27,427,0.8633,4.3221,1979.22,117.10
2025-07,edc,82.79,571,0.9038,4.8886,1542.49,242.71
2025-07,portable_generators,89.74,678,0.8888,5.7759,2835.50,70.66
2025-08,camping_gear,92.59,817,0.8546,5.2075,1724.57,199.65
2025-08,car_parts,73.30,706,0.9055,4.5875,2418.52,107.97
2025-08,cigar_accessories,56.23,450,0.8504,4.1224,2001.01,116.32
2025-08,edc,83.66,579,0.9107,4.8222,1577.37,254.14
2025-08,portable_generators,103.71,674,0.9263,6.7133,2842.76,74.85
2025-09,camping_gear,87.48,814,0.8532,5.2202,1696.02,203.36
2025-09,car_parts,73.82,729,0.9050,4.7941,2416.28,108.56
2025-09,cigar_accessories,58.86,456,0.8599,4.4398,1910.96,120.76
2025-09,edc,83.68,590,0.9017,4.9070,1528.56,265.76
2025-09,portable_generators,106.61,696,0.9003,6.1935,2855.26,72.99
2025-10,camping_gear,83.32,805,0.8516,5.0603,1698.42,206.76
2025-10,car_parts,80.23,734,0.9142,5.0422,2427.56,113.62
2025-10,cigar_accessories,59.60,473,0.8643,4.0925,1980.64,120.86
2025-10,edc,87.20,584,0.9210,4.9373,1490.31,278.57
2025-10,portable_generators,92.30,698,0.8562,5.3017,2896.48,66.12
2025-11,camping_gear,81.94,818,0.8593,4.8849,1664.40,209.48
2025-11,car_parts,73.29,739,0.8777,4.2199,2417.85,107.47
2025-11,cigar_accessories,64.11,462,0.8710,4.6474,1968.19,127.67
2025-11,edc,92.30,600,0.9275,5.0837,1549.60,292.58
2025-11,portable_generators,92.23,680,0.8974,5.7763,2844.18,63.80
2025-12,camping_gear,84.97,817,0.8707,5.2833,1674.31,220.53
2025-12,car_parts,74.00,751,0.9055,4.7139,2401.80,107.57
2025-12,cigar_accessories,65.02,483,0.8718,4.5438,1975.14,129.45
2025-12,edc,96.39,615,0.9179,5.1625,1494.69,312.33
2025-12,portable_generators,103.04,703,0.9164,6.0716,2846.51,64.86
